"Customer ID";"Customer Name";"Segment";"City";"State";"Postal Code";"Region";"Order ID"
"CG-12520";"Claire Gute";"Consumer";"Henderson";"Kentucky";42420;"South";"CA-2017-152156"
"CG-12520";"Claire Gute";"Consumer";"Henderson";"Kentucky";42420;"South";"CA-2017-152156"
"DV-13045";"Darrin Van Huff";"Corporate";"Los Angeles";"California";90036;"West";"CA-2017-138688"
"SO-20335";"Sean O'Donnell";"Consumer";"Fort Lauderdale";"Florida";33311;"South";"US-2016-108966"
"SO-20335";"Sean O'Donnell";"Consumer";"Fort Lauderdale";"Florida";33311;"South";"US-2016-108966"
"BH-11710";"Brosina Hoffman";"Consumer";"Los Angeles";"California";90032;"West";"CA-2015-115812"
"BH-11710";"Brosina Hoffman";"Consumer";"Los Angeles";"California";90032;"West";"CA-2015-115812"
"BH-11710";"Brosina Hoffman";"Consumer";"Los Angeles";"California";90032;"West";"CA-2015-115812"
"BH-11710";"Brosina Hoffman";"Consumer";"Los Angeles";"California";90032;"West";"CA-2015-115812"
"BH-11710";"Brosina Hoffman";"Consumer";"Los Angeles";"California";90032;"West";"CA-2015-115812"
"BH-11710";"Brosina Hoffman";"Consumer";"Los Angeles";"California";90032;"West";"CA-2015-115812"
"BH-11710";"Brosina Hoffman";"Consumer";"Los Angeles";"California";90032;"West";"CA-2015-115812"
"AA-10480";"Andrew Allen";"Consumer";"Concord";"North Carolina";28027;"South";"CA-2018-114412"
"IM-15070";"Irene Maddox";"Consumer";"Seattle";"Washington";98103;"West";"CA-2017-161389"
"HP-14815";"Harold Pawlan";"Home Office";"Fort Worth";"Texas";76106;"Central";"US-2016-118983"
"HP-14815";"Harold Pawlan";"Home Office";"Fort Worth";"Texas";76106;"Central";"US-2016-118983"
"PK-19075";"Pete Kriz";"Consumer";"Madison";"Wisconsin";53711;"Central";"CA-2015-105893"
"AG-10270";"Alejandro Grove";"Consumer";"West Jordan";"Utah";84084;"West";"CA-2015-167164"
"ZD-21925";"Zuschuss Donatelli";"Consumer";"San Francisco";"California";94109;"West";"CA-2015-143336"
"ZD-21925";"Zuschuss Donatelli";"Consumer";"San Francisco";"California";94109;"West";"CA-2015-143336"
"ZD-21925";"Zuschuss Donatelli";"Consumer";"San Francisco";"California";94109;"West";"CA-2015-143336"
